French,English
partie,part
histoire,history
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
place,square
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
sois,be
tiens,here
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
